applicant,bla_nda_number,is_biologic,proprietary_name,proper_name,approval_type,ref_id,ref_proper_name,ref_proprietary_name,supplement_no,license_no,exclusivity_date,is_deleted,created_at,updated_at
Grifols Therapeutics LLC,101141,True,"Bayrho-D, Hyprho-D, Hyperrho S/D Full Dose, Hyperrho S/D Mini-Dose",Rho(D) Immune Globulin (Human),new,,,,0.0,1871.0,,False,2023-03-20 03:08:09.062853+00,2023-03-20 03:08:09.062853+00
Grifols Therapeutics LLC,101142,True,"Baytet, Hypertet",Tetanus Immune Globulin (Human),new,,,,0.0,1871.0,,False,2023-03-20 03:08:09.062853+00,2023-03-20 03:08:09.062853+00
Grifols Therapeutics LLC,101144,True,"Bayrab, Hyperrab",Rabies Immune Globulin (Human),new,,,,0.0,1871.0,,False,2023-03-20 03:08:09.062853+00,2023-03-20 03:08:09.062853+00
Grifols Therapeutics LLC,101146,True,"Bayhep B, Hyperhep B S/D",Hepatitis B Immune Globulin (Human),new,,,,0.0,1871.0,,False,2023-03-20 03:08:09.062853+00,2023-03-20 03:08:09.062853+00
Grifols Therapeutics LLC,101147,True,Gamimune,Immune Globulin Intravenous (Human),new,,,,0.0,1871.0,,False,2023-03-20 03:08:09.062853+00,2023-03-20 03:08:09.062853+00
"Recordati Rare Diseases, Inc.",101246,True,Panhematin,Hemin for Injection,new,,,,5350.0,1899.0,1990-07-20 04:00:00+00,False,2023-03-20 03:08:09.062853+00,2023-03-20 03:08:09.062853+00
MassBiologics,101322,True,Tdvax,Tetanus and Diphtheria Toxoids Adsorbed,new,,,,0.0,1779.0,,False,2023-03-20 03:08:09.062853+00,2023-03-20 03:08:09.062853+00
Baxalta US Inc.,101447,True,"Autoplex, Feiba Nf, Feiba Vh",Anti-Inhibitor Coagulant Complex,new,,,,0.0,2020.0,2020-12-16 05:00:00+00,False,2023-03-20 03:08:09.062853+00,2023-03-20 03:08:09.062853+00
Baxalta US Inc.,101448,True,Hemofil M,Antihemophilic Factor (Human),new,,,,1062.0,2020.0,,False,2023-03-20 03:08:09.062853+00,2023-03-20 03:08:09.062853+00
Baxalta US Inc.,101452,True,"Buminate, Flexbumin",Albumin (Human),new,,,,0.0,2020.0,,False,2023-03-20 03:08:09.062853+00,2023-03-20 03:08:09.062853+00
"Smith & Nephew, Inc.",101995,True,Santyl,collagenase,new,,,,,2004.0,,False,2023-03-20 03:08:09.062853+00,2023-03-20 03:08:09.062853+00
CSL Behring AG,102366,True,Alburx,Albumin (Human),new,,,,0.0,1766.0,,False,2023-03-20 03:08:09.062853+00,2023-03-20 03:08:09.062853+00
CSL Behring AG,102367,True,"Carimune, Carimune Nf, Panglobulin, Sandoglobulin",Immune Globulin Intravenous (Human),new,,,,1055.0,1766.0,,False,2023-03-20 03:08:09.062853+00,2023-03-20 03:08:09.062853+00
Grifols Biologicals LLC,102475,True,Alphanate,Antihemophilic Factor/von Willebrand Factor Complex (Human),new,,,,0.0,1694.0,2014-01-31 05:00:00+00,False,2023-03-20 03:08:09.062853+00,2023-03-20 03:08:09.062853+00
Grifols Biologicals LLC,102476,True,"Profilnine, Profilnine Hp, Profilnine Ht, Profilnine Sd",Factor IX Complex,new,,,,0.0,1694.0,,False,2023-03-20 03:08:09.062853+00,2023-03-20 03:08:09.062853+00
Grifols Biologicals LLC,102478,True,Albutein,Albumin (Human),new,,,,0.0,1694.0,,False,2023-03-20 03:08:09.062853+00,2023-03-20 03:08:09.062853+00
Merck Teknika LLC,102821,True,Tice Bcg,BCG Live,new,,,,0.0,1747.0,,False,2023-03-20 03:08:09.062853+00,2023-03-20 03:08:09.062853+00
"GenTrac, Inc.",102865,True,"Thrombin-Jmi, Thrombocoll","Thrombin, Topical (Bovine)",new,,,,0.0,977.0,,False,2023-03-20 03:08:09.062853+00,2023-03-20 03:08:09.062853+00
"Allergan, Inc.",103000,True,Botox Cosmetic,onabotulinumtoxinA,new,,,,,1145.0,2026-06-20 04:00:00+00,False,2023-03-20 03:08:09.062853+00,2023-03-20 03:08:09.062853+00
Baxalta US Inc.,103112,True,Proplex-T; Bebulin,Factor IX Complex,new,,,,0.0,2020.0,,False,2023-03-20 03:08:09.062853+00,2023-03-20 03:08:09.062853+00
"Emergent Travel Health, Inc.",103123,True,Vivotif,Typhoid Vaccine Live Oral Ty21a,new,,,,0.0,2015.0,,False,2023-03-20 03:08:09.062853+00,2023-03-20 03:08:09.062853+00
Merck Sharp & Dohme Corp.,103132,True,Intron A,interferon alfa-2b,new,,,,,2.0,1995-11-21 05:00:00+00,False,2023-03-20 03:08:09.062853+00,2023-03-20 03:08:09.062853+00
Baxalta US Inc.,103133,True,"Gammagard, Gammagard S/D, Iveegam",Immune Globulin Intravenous (Human),new,,,,0.0,2020.0,,False,2023-03-20 03:08:09.062853+00,2023-03-20 03:08:09.062853+00
Wellcome Foundation Limited Wellcome Research Laboratories,103141,True,Digibind,Digoxin Immune Fab (Ovine),new,,,,0.0,129.0,1993-04-22 04:00:00+00,False,2023-03-20 03:08:09.062853+00,2023-03-20 03:08:09.062853+00
Hoffmann-La Roche Inc.,103145,True,Roferon-A,interferon alfa-2a,new,,,,,136.0,,False,2023-03-20 03:08:09.062853+00,2023-03-20 03:08:09.062853+00
AIM ImmunoTech Inc.,103158,True,Alferon N Injection,interferon alfa-n3 (human leukocyte derived),new,,,,,1703.0,,False,2023-03-20 03:08:09.062853+00,2023-03-20 03:08:09.062853+00
Sanofi Pasteur Limited,103171,True,Tenivac,Tetanus and Diphtheria Toxoids Adsorbed,new,,,,0.0,1726.0,,False,2023-03-20 03:08:09.062853+00,2023-03-20 03:08:09.062853+00
"Genentech, Inc.",103172,True,Activase,alteplase,new,,,,,1048.0,,False,2023-03-20 03:08:09.062853+00,2023-03-20 03:08:09.062853+00
Grifols Therapeutics LLC,103174,True,"Prolastin, Prolastin-C",Alpha-1-Proteinase Inhibitor (Human),new,,,,0.0,1871.0,1994-12-02 05:00:00+00,False,2023-03-20 03:08:09.062853+00,2023-03-20 03:08:09.062853+00
Kamada Ltd.,103189,True,Cytogam,Cytomegalovirus Immune Globulin Intravenous (Human),new,,,,0.0,1766.0,2005-10-04 04:00:00+00,False,2023-03-20 03:08:09.062853+00,2023-03-20 03:08:09.062853+00
Grifols Therapeutics LLC,103196,True,Thrombate Iii,Antithrombin III (Human),new,,,,0.0,1871.0,1998-12-30 05:00:00+00,False,2023-03-20 03:08:09.062853+00,2023-03-20 03:08:09.062853+00
Amgen Inc.,103234,True,Epogen/Procrit,epoetin alfa,new,,,,,1080.0,1997-12-31 05:00:00+00,False,2023-03-20 03:08:09.062853+00,2023-03-20 03:08:09.062853+00
Merck Sharp & Dohme Corp.,103237,True,Pedvaxhib,Haemophilus b Conjugate Vaccine (Meningococcal Protein Conjugate),new,,,,0.0,2.0,,False,2023-03-20 03:08:09.062853+00,2023-03-20 03:08:09.062853+00
GlaxoSmithKline Biologicals,103239,True,Engerix-B,Hepatitis B Vaccine (Recombinant),new,,,,0.0,1617.0,,False,2023-03-20 03:08:09.062853+00,2023-03-20 03:08:09.062853+00
Grifols Biologicals LLC,103249,True,"Alphanine, Alphanine Hp, Alphanine Sd",Coagulation Factor IX (Human),new,,,,0.0,1694.0,1997-12-31 05:00:00+00,False,2023-03-20 03:08:09.062853+00,2023-03-20 03:08:09.062853+00
"Nielsen Bioscience, Inc",103257,True,Candin,Candida albicans Skin Test Antigen for Cellular Hypersensitivity,new,,,,0.0,1903.0,,False,2023-03-20 03:08:09.062853+00,2023-03-20 03:08:09.062853+00
"Clinigen, Inc.",103293,True,Proleukin,aldesleukin,new,,,,,2154.0,2005-01-09 05:00:00+00,False,2023-03-20 03:08:09.062853+00,2023-03-20 03:08:09.062853+00
Bayer HealthCare LLC,103332,True,"Helixate Fs, Kogenate, Kogenate Fs",Antihemophilic Factor (Recombinant),new,,,,5000.0,8.0,2000-02-25 05:00:00+00,False,2023-03-20 03:08:09.062853+00,2023-03-20 03:08:09.062853+00
Bavarian Nordic A/S,103334,True,Rabavert,Rabies Vaccine,new,,,,0.0,2096.0,,False,2023-03-20 03:08:09.062853+00,2023-03-20 03:08:09.062853+00
"Instituto Grifols, S.A.",103352,True,Human Albumin Grifols,Albumin (Human),new,,,,5024.0,1181.0,,False,2023-03-20 03:08:09.062853+00,2023-03-20 03:08:09.062853+00
Amgen Inc.,103353,True,Neupogen,filgrastim,new,,,,,1080.0,2022-03-30 04:00:00+00,False,2023-03-20 03:08:09.062853+00,2023-03-20 03:08:09.062853+00
"Partner Therapeutics, Inc.",103362,True,Leukine,sargramostim,new,,,,,2087.0,2025-03-29 04:00:00+00,False,2023-03-20 03:08:09.062853+00,2023-03-20 03:08:09.062853+00
Baxalta US Inc.,103375,True,"Bioclate (Armour), Recombinate",Antihemophilic Factor (Recombinant),new,,,,0.0,2020.0,,False,2023-03-20 03:08:09.062853+00,2023-03-20 03:08:09.062853+00
Servier Pharmaceuticals LLC,103411,True,Oncaspar,pegaspargase,new,,,,,2125.0,2001-02-01 05:00:00+00,False,2023-03-20 03:08:09.062853+00,2023-03-20 03:08:09.062853+00
"Centocor Ortho Biotech Products, L.P.",103463,True,Orthoclone OKT3,muromanab-CD3,new,,,,,1824.0,,False,2023-03-20 03:08:09.062853+00,2023-03-20 03:08:09.062853+00
Bayer HealthCare Pharmaceuticals Inc.,103471,True,Betaseron,interferon beta-1b,new,,,,,1778.0,,False,2023-03-20 03:08:09.062853+00,2023-03-20 03:08:09.062853+00
GlaxoSmithKline Biologicals,103475,True,Havrix,Hepatitis A Vaccine,new,,,,0.0,1617.0,,False,2023-03-20 03:08:09.062853+00,2023-03-20 03:08:09.062853+00
"Genentech, Inc.",103532,True,Pulmozyme,dornase alfa,new,,,,,1048.0,2000-12-30 05:00:00+00,False,2023-03-20 03:08:09.062853+00,2023-03-20 03:08:09.062853+00
Merck Sharp & Dohme Corp.,103552,True,Varivax,Varicella Virus Vaccine Live,new,,,,0.0,2.0,,False,2023-03-20 03:08:09.062853+00,2023-03-20 03:08:09.062853+00
"Janssen Biotech, Inc.",103575,True,Reopro,abciximab,new,,,,,1864.0,,False,2023-03-20 03:08:09.062853+00,2023-03-20 03:08:09.062853+00
Merck Sharp & Dohme Corp.,103606,True,Vaqta,Hepatitis A Vaccine Inactivated,new,,,,0.0,2.0,,False,2023-03-20 03:08:09.062853+00,2023-03-20 03:08:09.062853+00
"Aytu BioScience, Inc.",103608,True,ProstaScint,capromab pendetide,new,,,,,2035.0,,False,2023-03-20 03:08:09.062853+00,2023-03-20 03:08:09.062853+00
Merck Sharp & Dohme Corp.,103623,True,COMVAX,Haemophilus b Conjugate (Meningococcal Protein Conjugate) and Hepatitis B (Recombinant) Vaccine,new,,,,0.0,2.0,,False,2023-03-20 03:08:09.062853+00,2023-03-20 03:08:09.062853+00
Biogen Inc.,103628,True,Avonex,interferon beta-1a,new,,,,,1697.0,2003-05-17 04:00:00+00,False,2023-03-20 03:08:09.062853+00,2023-03-20 03:08:09.062853+00
GlaxoSmithKline Biologicals,103647,True,Infanrix,Diphtheria & Tetanus Toxoids & Acellular Pertussis Vaccine Adsorbed,new,,,,0.0,1617.0,,False,2023-03-20 03:08:09.062853+00,2023-03-20 03:08:09.062853+00
Kamada Ltd.,103649,True,"Winrho Sd, Winrho Sdf Liquid, Winrho Sdf Lyophilized",Rho(D) Immune Globulin Intravenous (Human),new,,,,0.0,2098.0,2002-03-24 05:00:00+00,False,2023-03-20 03:08:09.062853+00,2023-03-20 03:08:09.062853+00
Vericel Corporation,103661,True,Carticel Sm Service,Autologous Cultured Chondrocytes,new,,,,0.0,2010.0,,False,2023-03-20 03:08:09.062853+00,2023-03-20 03:08:09.062853+00
Kadmon Pharmaceuticals LLC,103663,True,Infergen,interferon alfacon-1,new,,,,,1867.0,,False,2023-03-20 03:08:09.062853+00,2023-03-20 03:08:09.062853+00
Novo Nordisk Inc.,103665,True,"Novoseven, Novoseven Rt",Coagulation Factor VIIa (Recombinant),new,,,,0.0,1261.0,2021-07-02 04:00:00+00,False,2023-03-20 03:08:09.062853+00,2023-03-20 03:08:09.062853+00
Sanofi Pasteur Limited,103666,True,Daptacel,Diphtheria & Tetanus Toxoids & Acellular Pertussis Vaccine Adsorbed,new,,,,0.0,1726.0,,False,2023-03-20 03:08:09.062853+00,2023-03-20 03:08:09.062853+00
Pharmacia & Upjohn Company LLC,103676,True,Atgam,"Lymphocyte Immune Globulin, Anti-thymocyte Globulin (Equine)",new,,,,0.0,1216.0,,False,2023-03-20 03:08:09.062853+00,2023-03-20 03:08:09.062853+00
Wyeth Pharmaceuticals LLC,103677,True,"Benefix, Benefix Rts",Coagulation Factor IX (Recombinant),new,,,,0.0,3.0,2004-02-11 05:00:00+00,False,2023-03-20 03:08:09.062853+00,2023-03-20 03:08:09.062853+00
"Smith & Nephew, Inc.",103691,True,Regranex,becaplermin,new,,,,,2004.0,,False,2023-03-20 03:08:09.062853+00,2023-03-20 03:08:09.062853+00
Wyeth Pharmaceuticals Inc.,103694,True,Neumega,oprelvekin,new,,,,,3.0,,False,2023-03-20 03:08:09.062853+00,2023-03-20 03:08:09.062853+00
"Genentech, Inc.",103705,True,Rituxan,rituximab,new,,,,,1048.0,2028-12-02 05:00:00+00,False,2023-03-20 03:08:09.062853+00,2023-03-20 03:08:09.062853+00
IDEC Pharmaceuticals Corp.,103737,True,Rituxan,rituximab,new,,,,,1235.0,,False,2023-03-20 03:08:09.062853+00,2023-03-20 03:08:09.062853+00
SmartPractice Denmark ApS,103738,True,T.R.U.E. Test,Thin-Layer Rapid Use Epicutaneous Patch Test,new,,,,0.0,1888.0,,False,2023-03-20 03:08:09.062853+00,2023-03-20 03:08:09.062853+00
Hoffmann-La Roche Inc.,103749,True,Zenapax,daclizumab,new,,,,,136.0,,False,2023-03-20 03:08:09.062853+00,2023-03-20 03:08:09.062853+00
"ALK-Abello, Inc.",103754,True,Histatrol,Positive Skin Test Control-Histamine,new,,,,0.0,1256.0,,False,2023-03-20 03:08:09.062853+00,2023-03-20 03:08:09.062853+00
Novartis Pharmaceuticals Corporation,103764,True,Simulect,basiliximab,new,,,,,1244.0,2005-05-12 04:00:00+00,False,2023-03-20 03:08:09.062853+00,2023-03-20 03:08:09.062853+00
"Eisai, Incorporated",103767,True,Ontak,denileukin diftitox,new,,,,,1862.0,2006-02-05 05:00:00+00,False,2023-03-20 03:08:09.062853+00,2023-03-20 03:08:09.062853+00
Boehringer Ingelheim Pharma GmbH & Co. KG,103769,True,Verluma,nofetumomab,new,,,,,1251.0,,False,2023-03-20 03:08:09.062853+00,2023-03-20 03:08:09.062853+00
Swedish Orphan Biovitrum AB (publ),103770,True,Synagis,palivizumab,new,,,,,1859.0,,False,2023-03-20 03:08:09.062853+00,2023-03-20 03:08:09.062853+00
"Janssen Biotech, Inc.",103772,True,Remicade,infliximab,new,,,,,1864.0,2018-09-23 04:00:00+00,False,2023-03-20 03:08:09.062853+00,2023-03-20 03:08:09.062853+00
Kedrion Biopharma Inc.,103777,True,"Micrhogam, Rhogam",Rho(D) Immune Globulin (Human),new,,,,0.0,1906.0,,False,2023-03-20 03:08:09.062853+00,2023-03-20 03:08:09.062853+00
Wyeth Pharmaceuticals LLC,103779,True,Refacto,Antihemophilic Factor (Recombinant),new,,,,5006.0,3.0,,False,2023-03-20 03:08:09.062853+00,2023-03-20 03:08:09.062853+00
"EMD Serono, Inc.",103780,True,Rebif,interferon beta-1a,new,,,,,1773.0,,False,2023-03-20 03:08:09.062853+00,2023-03-20 03:08:09.062853+00
"Par Pharmaceutical Companies, Inc.",103782,True,Aplisol,"Tuberculin, Purified Protein Derivative",new,,,,0.0,1997.0,,False,2023-03-20 03:08:09.062853+00,2023-03-20 03:08:09.062853+00
"Chiesi USA, Inc.",103786,True,Retavase,reteplase,new,,,,,2150.0,,False,2023-03-20 03:08:09.062853+00,2023-03-20 03:08:09.062853+00
BTG International Inc.,103788,True,Crofab,Crotalidae Polyvalent Immune Fab (Ovine),new,,,,0.0,1861.0,2007-10-02 04:00:00+00,False,2023-03-20 03:08:09.062853+00,2023-03-20 03:08:09.062853+00
"Genentech, Inc.",103792,True,Herceptin,trastuzumab,new,,,,,1048.0,2017-10-20 04:00:00+00,False,2023-03-20 03:08:09.062853+00,2023-03-20 03:08:09.062853+00
Immunex Corporation,103795,True,Enbrel,etanercept,new,,,,,1132.0,2006-05-27 04:00:00+00,False,2023-03-20 03:08:09.062853+00,2023-03-20 03:08:09.062853+00
Emergent BioDefense Operations Lansing LLC,103820,True,Biorab,Rabies Vaccine Adsorbed,new,,,,0.0,1755.0,,False,2023-03-20 03:08:09.062853+00,2023-03-20 03:08:09.062853+00
Emergent BioDefense Operations Lansing LLC,103821,True,Biothrax,Anthrax Vaccine Adsorbed,new,,,,0.0,1755.0,2022-11-23 05:00:00+00,False,2023-03-20 03:08:09.062853+00,2023-03-20 03:08:09.062853+00
Horizon Therapeutics Ireland DAC,103836,True,Actimmune,interferon gamma-1b,new,,,,,2022.0,2007-02-10 05:00:00+00,False,2023-03-20 03:08:09.062853+00,2023-03-20 03:08:09.062853+00
Seqirus Vaccines Limited,103837,True,Fluvirin,Influenza Virus Vaccine,new,,,,0.0,2055.0,,False,2023-03-20 03:08:09.062853+00,2023-03-20 03:08:09.062853+00
"Solstice NeuroSciences, LLC",103846,True,Myobloc,rimabotulinumtoxinB,new,,,,,1718.0,2007-12-08 05:00:00+00,False,2023-03-20 03:08:09.062853+00,2023-03-20 03:08:09.062853+00
GlaxoSmithKline Biologicals,103850,True,Twinrix,Hepatitis A & Hepatitis B (Recombinant) Vaccine,new,,,,0.0,1617.0,,False,2023-03-20 03:08:09.062853+00,2023-03-20 03:08:09.062853+00
Genzyme Corporation,103869,True,Thymoglobulin,Anti-thymocyte Globulin (Rabbit),new,,,,0.0,1596.0,,False,2023-03-20 03:08:09.062853+00,2023-03-20 03:08:09.062853+00
Wyeth Pharmaceuticals LLC,103905,True,prevnar,Pneumococcal 7-valent Conjugate Vaccine (Diphtheria CRM197 Protein),new,,,,0.0,3.0,,False,2023-03-20 03:08:09.062853+00,2023-03-20 03:08:09.062853+00
GlaxoSmithKline Biologicals,103907,True,Pediarix,DTaP & Hepatitis B (Recombinant) & Inactivated Polio Virus Vaccine,new,,,,0.0,1617.0,,False,2023-03-20 03:08:09.062853+00,2023-03-20 03:08:09.062853+00
"Genentech, Inc.",103909,True,TNKase,tenecteplase,new,,,,,1048.0,,False,2023-03-20 03:08:09.062853+00,2023-03-20 03:08:09.062853+00
BTG International Inc.,103910,True,Digifab,Digoxin Immune Fab (Ovine),new,,,,0.0,1861.0,,False,2023-03-20 03:08:09.062853+00,2023-03-20 03:08:09.062853+00
Sanofi Pasteur Inc.,103914,True,"Fluzone, Fluzone Hd Quadrivalent, Fluzone High Dose, Fluzone Intradermal, Fluzone Quadrivalent",Influenza Virus Vaccine,new,,,,0.0,1725.0,,False,2023-03-20 03:08:09.062853+00,2023-03-20 03:08:09.062853+00
Sanofi Pasteur Inc.,103915,True,Yf-Vax,Yellow Fever Vaccine,new,,,,0.0,1725.0,,False,2023-03-20 03:08:09.062853+00,2023-03-20 03:08:09.062853+00
Sanofi Pasteur Inc.,103922,True,Tripedia,Diphtheria & Tetanus Toxoids & Acellular Pertussis Vaccine Adsorbed,new,,,,0.0,1725.0,,False,2023-03-20 03:08:09.062853+00,2023-03-20 03:08:09.062853+00
Sanofi Pasteur Inc.,103923,True,Menomune-C,"Meningococcal Polysaccharide Vaccine, Group C",new,,,,0.0,1725.0,,False,2023-03-20 03:08:09.062853+00,2023-03-20 03:08:09.062853+00
Sanofi Pasteur Inc.,103924,True,Menomune-A,"Meningococcal Polysaccharide Vaccine, Group A",new,,,,0.0,1725.0,,False,2023-03-20 03:08:09.062853+00,2023-03-20 03:08:09.062853+00
Sanofi Pasteur Inc.,103925,True,Menomune-A/C,"Meningococcal Polysaccharide Vaccine, Groups A and C Combined",new,,,,0.0,1725.0,,False,2023-03-20 03:08:09.062853+00,2023-03-20 03:08:09.062853+00
Sanofi Pasteur Inc.,103926,True,Menomune,"Meningococcal Polysaccharide Vaccine, Groups A, C, Y, and W-135 Combined",new,,,,0.0,1725.0,,False,2023-03-20 03:08:09.062853+00,2023-03-20 03:08:09.062853+00
"Palatin Technologies, Inc.",103928,True,NeutroSpec,technetium 99m tc fanolesomab,new,,,,,1588.0,,False,2023-03-20 03:08:09.062853+00,2023-03-20 03:08:09.062853+00
Sanofi Pasteur SA,103930,True,Ipol,Poliovirus Vaccine Inactivated,new,,,,0.0,1724.0,,False,2023-03-20 03:08:09.062853+00,2023-03-20 03:08:09.062853+00
Sanofi Pasteur SA,103931,True,Imovax Rabies,Rabies Vaccine,new,,,,0.0,1724.0,,False,2023-03-20 03:08:09.062853+00,2023-03-20 03:08:09.062853+00
Sanofi Pasteur SA,103932,True,Imogam,Rabies Immune Globulin (Human),new,,,,5000.0,1724.0,,False,2023-03-20 03:08:09.062853+00,2023-03-20 03:08:09.062853+00
Sanofi Pasteur SA,103935,True,"Acthib,Omnihib",Haemophilus b Conjugate Vaccine (Tetanus Toxoid Conjugate),new,,,,0.0,1724.0,,False,2023-03-20 03:08:09.062853+00,2023-03-20 03:08:09.062853+00
Sanofi Pasteur SA,103936,True,Typhim Vi,Typhoid Vi Polysaccharide Vaccine,new,,,,0.0,1724.0,,False,2023-03-20 03:08:09.062853+00,2023-03-20 03:08:09.062853+00
Sanofi Pasteur Limited,103940,True,Poliovax,Poliovirus Vaccine Inactivated (Human Diploid Cell),new,,,,0.0,1726.0,,False,2023-03-20 03:08:09.062853+00,2023-03-20 03:08:09.062853+00
Sanofi Pasteur Limited,103941,True,Tubersol,"Tuberculin, Purified Protein Derivative",new,,,,0.0,1726.0,,False,2023-03-20 03:08:09.062853+00,2023-03-20 03:08:09.062853+00
Sanofi Pasteur Limited,103942,True,Mycobax,BCG Vaccine,new,,,,0.0,1726.0,,False,2023-03-20 03:08:09.062853+00,2023-03-20 03:08:09.062853+00
Sanofi Pasteur Limited,103943,True,TheraCys,BCG Live,new,,,,0.0,1726.0,,False,2023-03-20 03:08:09.062853+00,2023-03-20 03:08:09.062853+00
"ADMA Biologics, Inc.",103945,True,Nabi-HB,Hepatitis B Immune Globulin (Human),new,,,,0.0,2019.0,,False,2023-03-20 03:08:09.062853+00,2023-03-20 03:08:09.062853+00
Sanofi-Aventis U.S. LLC,103946,True,Elitek,rasburicase,new,,,,,1752.0,2009-07-12 04:00:00+00,False,2023-03-20 03:08:09.062853+00,2023-03-20 03:08:09.062853+00
Genzyme Corporation,103948,True,Campath,alemtuzumab,new,,,,,1596.0,2008-05-07 04:00:00+00,False,2023-03-20 03:08:09.062853+00,2023-03-20 03:08:09.062853+00
Merck Sharp & Dohme Corp.,103949,True,Pegintron,peginterferon alfa-2b,new,,,,,2.0,,False,2023-03-20 03:08:09.062853+00,2023-03-20 03:08:09.062853+00
Swedish Orphan Biovitrum AB (publ),103950,True,Kineret,anakinra,new,,,,,1859.0,2027-12-18 05:00:00+00,False,2023-03-20 03:08:09.062853+00,2023-03-20 03:08:09.062853+00
Amgen Inc.,103951,True,Aranesp,darbepoetin alpha,new,,,,,1080.0,,False,2023-03-20 03:08:09.062853+00,2023-03-20 03:08:09.062853+00
CSL Behring LLC,103953,True,"Monoclate, Monoclate-P",Antihemophilic Factor (Human),new,,,,1000.0,1767.0,,False,2023-03-20 03:08:09.062853+00,2023-03-20 03:08:09.062853+00
CSL Behring LLC,103955,True,"Albuminar, Albuminar-20, Albuminar-25, Albuminar-5",Albumin (Human),new,,,,0.0,1767.0,,False,2023-03-20 03:08:09.062853+00,2023-03-20 03:08:09.062853+00
CSL Behring LLC,103956,True,"gammar i.v.,gammar-p i.v.",Immune Globulin Intravenous (Human),new,,,,0.0,1767.0,,False,2023-03-20 03:08:09.062853+00,2023-03-20 03:08:09.062853+00
CSL Behring LLC,103957,True,Mononine,Coagulation Factor IX (Human),new,,,,0.0,1767.0,1999-08-20 04:00:00+00,False,2023-03-20 03:08:09.062853+00,2023-03-20 03:08:09.062853+00
CSL Behring GmbH,103960,True,Humate-P,Antihemophilic Factor/von Willebrand Factor Complex (Human),new,,,,0.0,1765.0,2006-04-01 05:00:00+00,False,2023-03-20 03:08:09.062853+00,2023-03-20 03:08:09.062853+00
zr pharma& GmbH,103964,True,Pegasys,peginterferon alfa-2a,new,,,,,2291.0,,False,2023-03-20 03:08:09.062853+00,2023-03-20 03:08:09.062853+00
ALK - Abello A/S,103969,True,Pharmalgen,"Venoms, Honey Bee Venom",new,,,,0.0,1292.0,,False,2023-03-20 03:08:09.062853+00,2023-03-20 03:08:09.062853+00
ALK - Abello A/S,103970,True,Pharmalgen,"Venoms, Mixed Vespid Venom Protein",new,,,,0.0,1292.0,,False,2023-03-20 03:08:09.062853+00,2023-03-20 03:08:09.062853+00
